| Item | Quantity | Unit Price | Link | Notes |
| :--- | :--- | :--- | :--- | :--- |
| **MG995 Servos (4 pack)** | 1 | 6.45 | [Link](https://www.aliexpress.us/item/3256804874936334.html?spm=a2g0o.cart.0.0.2eab38da7tZcGZ&mp=1&pdp_npi=6%40dis%21USD%21USD+43.96%21USD+6.45%21%21USD+6.45%21%21%21%402101e81117772292036996706effe0%2112000031488868167%21ct%21US%217596701668%21%211%210%21&_gl=1*poza9u*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjc2NjYkbzEkZzEkdDE3NzcyMjkxODgkajI4JGwwJGgw&gatewayAdapt=glo2usa) | High-torque metal gear servos for heavy-duty movement. |
| **Arduino Uno R4 WiFi** | 1 | 13.28 | [Link](https://www.aliexpress.us/item/3256810085696178.html?spm=a2g0o.detail.0.0.3fc8nQ2cnQ2cOY&mp=1&pdp_npi=6%40dis%21USD%21USD+13.78%21USD+13.28%21%21USD+13.28%21%21%21%402101e81117772292450257828effe0%2112000051736331014%21ct%21US%217596701668%21%211%210%21&_gl=1*1ajynpc*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjkyNDckajU4JGwwJGgw&gatewayAdapt=glo2usa) | 32-bit microcontroller with Wi-Fi and Bluetooth connectivity. |
| **PCA9685 Servo Motor Driver** | 1 | 0.99 | [Link](https://www.aliexpress.us/item/3256805483968774.html?spm=a2g0o.detail.0.0.5083IS7SIS7SIm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.82%21USD+0.99%21%21USD+0.99%21%21%21%402101e81117772293250561928effe0%2112000033959645907%21ct%21US%217596701668%21%211%210%21&_gl=1*a7391r*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjkzMjkkajU3JGwwJGgw&gatewayAdapt=glo2usa) | 16-channel PWM controller to manage multiple servos efficiently. |
| **5V 8A AC to DC Power Adapter** | 1 | 11.93 | [Link](https://www.aliexpress.us/item/2251832846673060.html?spm=a2g0o.detail.0.0.76f2F1xZF1xZE6&mp=1&pdp_npi=6%40dis%21USD%21USD+12.43%21USD+11.93%21%21USD+11.93%21%21%21%402101e81117772293563812668effe0%2167269801151%21ct%21US%217596701668%21%211%210%21&_gl=1*qlgfh7*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjkzNTgkajI4JGwwJGgw&gatewayAdapt=glo2usa) | High-current power supply suitable for multiple servo motors. |
| **Jumper Wires (120 pack)** | 1 | 3.37 | [Link](https://www.aliexpress.us/item/3256803032782196.html?spm=a2g0o.detail.0.0.3671OzXVOzXVJA&mp=1&pdp_npi=6%40dis%21USD%21USD+8.68%21USD+3.37%21%21USD+3.37%21%21%21%402101e81117772293972643765effe0%2112000024783046563%21ct%21US%217596701668%21%211%210%21&_gl=1*95vi7r*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjkzOTgkajYwJGwwJGgw&gatewayAdapt=glo2usa) | Assorted male-to-male, male-to-female, and female-to-female wires. |
| **DC Power Jack Connector** | 1 | 0.99 | [Link](https://www.aliexpress.us/item/3256806569458868.html?spm=a2g0o.productlist.main.5.335dbLfNbLfNNR&algo_pvid=fdf38c33-e415-4970-8b26-c1ae9110e581&algo_exp_id=fdf38c33-e415-4970-8b26-c1ae9110e581-4&pdp_ext_f=%7B%22order%22%3A%221706%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.01%210.99%21%21%2127.26%216.72%21%40210325a917772294919481924ea334%2112000038197813478%21sea%21US%217596701668%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96fe9385%3Bm03_new_user%3A-29895%3BpisId%3A5000000203542137&curPageLogUid=7rojykly85oy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006755773620%7C_p_origin_prod%3A) | Solderless screw-terminal jack for power distribution. |
| **DC Power Jack Adapter Set** | 1 | 0.99 | [Link](https://www.aliexpress.us/item/3256803491474540.html?spm=a2g0o.productlist.main.6.5ccaKxkAKxkAYj&algo_pvid=4f9f6163-1426-4e52-8345-1e20742deb48&algo_exp_id=4f9f6163-1426-4e52-8345-1e20742deb48-5&pdp_ext_f=%7B%22order%22%3A%22393%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.86%210.99%21%21%2112.86%210.99%21%4021033d1217772297478476659eb5eb%2112000026771399465%21sea%21US%217596701668%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96fe9385%3Bm03_new_user%3A-29895%3BpisId%3A5000000203542062&curPageLogUid=hmDfkr7eMzGi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003677789292%7C_p_origin_prod%3A) | Male/Female barrel jack adapters for easy wiring without soldering. |
| **20 Gauge Wire** | 1 | 12.04 | [Link](https://www.aliexpress.us/item/3256807019321849.html?spm=a2g0o.productlist.main.1.67b034c2vodNzm&algo_pvid=8a209c1f-87c4-465c-8489-0235ba8bca34&algo_exp_id=8a209c1f-87c4-465c-8489-0235ba8bca34-0&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.39%2112.04%21%21%21152.33%2181.90%21%402101d97817772299268432176e8bc5%2112000039804129465%21sea%21US%217596701668%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96fe9385%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=2DqrwgtKeStJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007205636601%7C_p_origin_prod%3A) | Stranded copper wire for main power lines and motor connections. |
| **Ball Bearings (30 Pack)** | 1 | 0.99 | [Link](https://www.aliexpress.us/item/3256806886363324.html?spm=a2g0o.detail.0.0.3d08TtmzTtmz0N&mp=1&pdp_npi=6%40dis%21USD%21USD+1.46%21USD+0.99%21%21USD+0.99%21%21%21%402101e81117772299512678340effe0%2112000039312432233%21ct%21US%217596701668%21%211%210%21&_gl=1*gu32yf*_gcl_aw*R0NMLjE3NzcyMjc2NDEuQ2owS0NRanc3N2JQQmhDX0FSSXNBR0FqalYtcnAxS3FkMFZ0QklNZy1mNDc4cWU5SWFWekFoblJtdDNacjM4enJXUzdMY08wSVBhZzVUQWFBaWxtRUFMd193Y0I.*_gcl_au*OTMzMTEzNjIuMTc3MzMzMDYwNA..*_ga*Mzc1NjQ3MzguMTc3NzIyNzY2Ng..*_ga_VED1YSGNC7*czE3NzcyMjk5NTIkajM3JGwwJGgw&gatewayAdapt=glo2usa) | Deep groove bearings to reduce friction in rotating mechanical joints. |
